,index,x0,iata,latitude,longitude,country,state,region,hub
165,165,0.001140657999081726,TEB,40.84972222,-74.06222222,US,NJ,east,no
166,166,0.0012962133921141058,ZXU,41.59722222,-71.41222222,US,RI,east,no
167,167,0.24466281098854495,ACT,31.61138889,-97.22861111,US,TX,centre,no
168,168,0.5391055664552684,COU,38.81361111,-92.21916667,US,MO,centre,no
169,169,0.2617444536829067,FOE,38.9525,-95.6625,US,KS,centre,no
170,170,0.1788145596217707,LAN,42.77916667,-84.58833333,US,MI,east,no
171,171,0.11755641744280602,MHK,39.14222222,-96.66888889,US,KS,centre,no
172,172,0.4374107453570959,SWO,36.15888889,-97.08555556,US,OK,centre,no
173,173,0.11591319990787616,TUP,34.25888889,-88.76722222,US,MS,centre,no
174,174,0.036820624463498056,TYS,35.81222222,-83.9925,US,TN,east,no
175,175,0.8946521966829749,ACV,40.97916667,-124.1075,US,CA,west,no
176,176,0.0012952657867931526,BLI,48.79444444,-122.53472222,US,WA,west,no
177,177,0.9983290053894414,CEC,41.78,-124.23583333,US,CA,west,no
178,178,0.9984766471875526,RDD,40.50833333,-122.29222222,US,CA,west,no
179,179,0.9980185727278642,ACY,39.45611111,-74.57805556,US,NJ,east,no
180,180,0.9664356687482188,AGS,33.36916667,-81.96444444,US,GA,east,no
181,181,0.9502544852167946,CAE,33.93638889,-81.11583333,US,SC,east,no
182,182,0.5258440770451807,CAK,40.91388889,-81.44166667,US,OH,east,no
183,183,0.001531273999774531,CEF,42.19777778,-72.53055556,US,MA,east,no
184,184,0.0015471436135172342,CRW,38.37277778,-81.59305556,US,WV,east,no
185,185,0.7037816247447647,CWA,44.78222222,-89.65916667,US,WI,centre,no
186,186,0.9948017072406704,DAB,29.1825,-81.05277778,US,FL,east,no
187,187,0.39137246589473107,FAY,34.99138889,-78.88027778,US,NC,east,no
188,188,0.0020691007304328222,FWA,40.97833333,-85.18805556,US,IN,east,no
189,189,0.004442012283048443,GRR,42.88111111,-85.52416667,US,MI,east,no
190,190,0.0023643333425226636,GSO,36.09194444,-79.94277778,US,NC,east,no
191,191,0.9984437185368552,GYY,41.61805556,-87.41555556,US,IN,east,no
192,192,0.34783174491512897,ISO,35.32666667,-77.61666667,US,NC,east,no
193,193,0.9959921445158467,JST,40.31666667,-78.83444444,US,PA,east,no
194,194,0.995422281209186,LNK,40.85083333,-96.75888889,US,NE,centre,no
195,195,0.0007338370918305168,LUK,39.10277778,-84.42138889,US,OH,east,no
196,196,0.4256615562715791,MOB,30.68833333,-88.24083333,US,AL,centre,no
197,197,0.0013917643348821554,ORH,42.26916667,-71.87444444,US,MA,east,no
198,198,0.8091906973885588,PGV,35.63333333,-77.38527778,US,NC,east,no
199,199,0.6803321855067797,PWM,43.64444444,-70.30361111,US,ME,east,no
200,200,0.5114405446383679,RME,43.23388889,-75.4075,US,NY,east,no
201,201,0.8794222294770344,ROC,43.12138889,-77.67083333,US,NY,east,no
202,202,0.9982308284675184,SAV,32.1275,-81.2025,US,GA,east,no
203,203,0.9296645006837184,SYR,43.11055556,-76.1025,US,NY,east,no
204,204,0.664513879877098,TOL,41.59083333,-83.80083333,US,OH,east,no
205,205,0.0011982767223692112,TRI,36.47611111,-82.40638889,US,TN,east,no
206,206,0.2363043371537474,VNY,34.20972222,-118.49,US,CA,west,no
207,207,0.477474255330245,YIP,42.23777778,-83.53055556,US,MI,east,no
208,208,0.00554133763931754,YNG,41.25611111,-80.66972222,US,OH,east,no
209,209,0.9984312765955955,APC,38.21222222,-122.28,US,CA,west,no
210,210,0.3954517972543388,ADW,38.81083333,-76.86722222,US,MD,east,no
211,211,0.9950245748799762,AVL,35.435,-82.54111111,US,NC,east,no
212,212,0.8124435040408625,BFI,47.52888889,-122.29944444,US,WA,west,no
213,213,0.0011347034341413177,MCF,27.84888889,-82.52166667,US,FL,east,no
214,214,0.0012790256988822258,MIA,25.7925,-80.28611111,US,FL,east,yes
215,215,0.5896171320076771,NGU,36.93722222,-76.29055556,US,VA,east,no
216,216,0.8210093610053347,NPA,30.35277778,-87.32027778,US,FL,east,no
217,217,0.9990413143398935,POB,35.17083333,-79.01472222,US,NC,east,no
218,218,0.2702139111734551,AEX,31.32416667,-92.54694444,US,LA,centre,no
219,219,0.23717023040259647,AZA,33.30777778,-111.65555556,US,AZ,west,no
220,220,0.0041120022278531634,CSG,32.51611111,-84.93888889,US,GA,east,no
221,221,0.21229381602333328,CYS,41.15583333,-104.81222222,US,WY,west,no
222,222,0.9989096441896993,DPG,40.19944444,-112.93666667,US,UT,west,no
223,223,0.002038084170065017,DQK,44.05,-75.73305556,US,NY,east,no
224,224,0.7262803914843504,GFK,47.95194444,-97.17861111,US,ND,centre,no
225,225,0.9983637813276475,LRD,27.54472222,-99.46111111,US,TX,centre,no
226,226,0.004677547659406682,MDT,40.19305556,-76.76222222,US,PA,east,no
227,227,0.9585201961609213,RIV,33.88055556,-117.25861111,US,CA,west,no
228,228,0.4383220039599276,SBN,41.70444444,-86.3125,US,IN,east,no
229,229,0.003038969163853781,SGF,37.24,-93.385,US,MO,centre,no
230,230,0.5818055227253264,AFK,40.60694444,-95.86583333,US,NE,centre,no
231,231,0.9974631269129003,BEH,42.12777778,-86.42833333,US,MI,east,no
232,232,0.9986924621115599,AFW,32.98666667,-97.3175,US,TX,centre,no
233,233,0.17100703971668046,INT,36.13527778,-80.22555556,US,NC,east,no
234,234,0.7058782919863525,JQF,35.38527778,-80.70972222,US,NC,east,no
235,235,0.9116836245370473,AGC,40.35472222,-79.93,US,PA,east,no
