,index,x0,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
213,213,0.2635033761833475,0.021833916739322407,0.23279385111908898,0.560914539601102,65.15383031619264,MCF,27.84888889,-82.52166667,US,FL,east,no
214,214,0.5946613297035068,0.7963529660862617,0.23279385111908898,0.560914539601102,65.15383031619264,MIA,25.7925,-80.28611111,US,FL,east,yes
215,215,0.48513423757734075,0.024868115041402336,0.23279385111908898,0.560914539601102,65.15383031619264,NGU,36.93722222,-76.29055556,US,VA,east,no
216,216,0.37998845722348984,0.009788127400040115,0.23279385111908898,0.560914539601102,65.15383031619264,NPA,30.35277778,-87.32027778,US,FL,east,no
217,217,0.521917071663769,0.03708030367237974,0.23279385111908898,0.560914539601102,65.15383031619264,POB,35.17083333,-79.01472222,US,NC,east,no
218,218,0.7009807024056827,0.2053956134525079,0.23279385111908898,0.560914539601102,65.15383031619264,AEX,31.32416667,-92.54694444,US,LA,centre,no
219,219,0.07136996723172613,0.29719237481527927,0.23279385111908898,0.560914539601102,65.15383031619264,AZA,33.30777778,-111.65555556,US,AZ,west,no
220,220,0.6440647606286188,0.1430595647449329,0.23279385111908898,0.560914539601102,65.15383031619264,CSG,32.51611111,-84.93888889,US,GA,east,no
221,221,0.2745100766675039,0.12953743043789084,0.23279385111908898,0.560914539601102,65.15383031619264,CYS,41.15583333,-104.81222222,US,WY,west,no
222,222,0.5802313604604735,0.0057180536867880915,0.23279385111908898,0.560914539601102,65.15383031619264,DPG,40.19944444,-112.93666667,US,UT,west,no
223,223,0.4302266365316699,0.01687316781867586,0.23279385111908898,0.560914539601102,65.15383031619264,DQK,44.05,-75.73305556,US,NY,east,no
224,224,0.6858037009069672,0.23539754225821607,0.23279385111908898,0.560914539601102,65.15383031619264,GFK,47.95194444,-97.17861111,US,ND,centre,no
225,225,0.38253591258527175,0.07432062449415704,0.23279385111908898,0.560914539601102,65.15383031619264,LRD,27.54472222,-99.46111111,US,TX,centre,no
226,226,0.9432379980170538,0.692280796996305,0.23279385111908898,0.560914539601102,65.15383031619264,MDT,40.19305556,-76.76222222,US,PA,east,no
227,227,0.40001488995854895,0.03376616015060306,0.23279385111908898,0.560914539601102,65.15383031619264,RIV,33.88055556,-117.25861111,US,CA,west,no
228,228,0.9289951322850954,0.5435064146016282,0.23279385111908898,0.560914539601102,65.15383031619264,SBN,41.70444444,-86.3125,US,IN,east,no
229,229,0.9142251776032069,0.30455149450031277,0.23279385111908898,0.560914539601102,65.15383031619264,SGF,37.24,-93.385,US,MO,centre,no
230,230,0.49029608077297054,0.017220725414204267,0.23279385111908898,0.560914539601102,65.15383031619264,AFK,40.60694444,-95.86583333,US,NE,centre,no
231,231,0.41709937147088205,0.017369897413569195,0.23279385111908898,0.560914539601102,65.15383031619264,BEH,42.12777778,-86.42833333,US,MI,east,no
232,232,0.544380915991316,0.016970066828590327,0.23279385111908898,0.560914539601102,65.15383031619264,AFW,32.98666667,-97.3175,US,TX,centre,no
233,233,0.6305979460063045,0.10286158350456305,0.23279385111908898,0.560914539601102,65.15383031619264,INT,36.13527778,-80.22555556,US,NC,east,no
234,234,0.607160541906194,0.13244338126252936,0.23279385111908898,0.560914539601102,65.15383031619264,JQF,35.38527778,-80.70972222,US,NC,east,no
235,235,0.6328808217881965,0.005795645631599291,0.23279385111908898,0.560914539601102,65.15383031619264,AGC,40.35472222,-79.93,US,PA,east,no
236,236,0.7239395396201728,0.028326535154929076,0.23279385111908898,0.560914539601102,65.15383031619264,BQK,31.25888889,-81.46638889,US,GA,east,no
237,237,0.9370038308404686,0.2004972252500953,0.23279385111908898,0.560914539601102,65.15383031619264,GNV,29.68972222,-82.27583333,US,FL,east,no
238,238,0.9126085647241151,0.22636268362390805,0.23279385111908898,0.560914539601102,65.15383031619264,MGM,32.3,-86.39111111,US,AL,centre,no
239,239,0.8462626356044456,0.21885632284686574,0.23279385111908898,0.560914539601102,65.15383031619264,SHV,32.44694444,-93.82555556,US,LA,centre,no
240,240,0.9354411667759159,0.6505751580034113,0.23279385111908898,0.560914539601102,65.15383031619264,XNA,36.28194444,-94.30694444,US,AR,centre,no
241,241,0.7483018766187223,0.057225527422348606,0.23279385111908898,0.560914539601102,65.15383031619264,AHN,33.94833333,-83.32694444,US,GA,east,no
242,242,0.9368565029749447,0.34552243564873525,0.23279385111908898,0.560914539601102,65.15383031619264,BTR,30.53166667,-91.15055556,US,LA,centre,no
243,243,0.7806230338984563,0.05280609448379981,0.23279385111908898,0.560914539601102,65.15383031619264,FYV,36.00361111,-94.17,US,AR,centre,no
