,index,x0,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
38,38,50.71179406913178,1.3169583416218624,0.2514865541008847,0.4841483834760242,70.68591703799864,LIT,34.72916667,-92.23444444,US,AR,centre,no
39,39,-42.82604802679574,1.9228225299696513,0.2514865541008847,0.4841483834760242,70.68591703799864,MCI,39.2975,-94.71388889,US,MO,centre,no
40,40,43.293838688068455,1.5815679075147064,0.2514865541008847,0.4841483834760242,70.68591703799864,MCO,28.43166667,-81.32472222,US,FL,east,no
41,41,-23.77677154905302,1.7056902461111056,0.2514865541008847,0.4841483834760242,70.68591703799864,MDW,41.785,-87.75194444,US,IL,east,no
42,42,56.03154692060945,1.8629358719076496,0.2514865541008847,0.4841483834760242,70.68591703799864,MEM,35.04972222,-89.97861111,US,TN,east,no
43,43,20.42436490517662,2.041395695070348,0.2514865541008847,0.4841483834760242,70.68591703799864,MKE,42.95027778,-87.89722222,US,WI,centre,no
44,44,50.36446656578646,0.6177170295368317,0.2514865541008847,0.4841483834760242,70.68591703799864,MLI,41.44888889,-90.505,US,IL,east,no
45,45,41.442735861304875,1.0109411756012272,0.2514865541008847,0.4841483834760242,70.68591703799864,MSN,43.14194444,-89.33694444,US,WI,centre,no
46,46,48.78239382065388,0.6048866026401932,0.2514865541008847,0.4841483834760242,70.68591703799864,MYR,33.67916667,-78.92972222,US,SC,east,no
47,47,46.94569383129064,2.3762943279930098,0.2514865541008847,0.4841483834760242,70.68591703799864,ORD,41.97805556,-87.90611111,US,IL,east,yes
48,48,6.722923025507821,0.10007649925036273,0.2514865541008847,0.4841483834760242,70.68591703799864,PGD,26.91916667,-81.99138889,US,FL,east,no
49,49,43.11365834064968,2.0380480921133746,0.2514865541008847,0.4841483834760242,70.68591703799864,PHL,39.86805556,-75.24861111,US,PA,east,no
50,50,35.491162605869405,0.3882685058776624,0.2514865541008847,0.4841483834760242,70.68591703799864,PIE,27.90722222,-82.68555556,US,FL,east,no
51,51,43.72610926976642,1.7319724845852291,0.2514865541008847,0.4841483834760242,70.68591703799864,PIT,40.49666667,-80.23583333,US,PA,east,no
