,index,x0,x1,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
348,348,0.23740988565388282,0.6714715912309668,0.04540033974789583,0.5677354772748359,0.42862820352776937,161.42496229148412,FTW,32.8175,-97.35861111,US,TX,centre,no
349,349,0.14786505049941828,0.7879352580399178,0.060699898421623225,0.5677354772748359,0.42862820352776937,161.42496229148412,GRI,40.96722222,-98.30666667,US,NE,centre,no
350,350,0.17155402313590104,0.9032887776941726,0.21639101060642033,0.5677354772748359,0.42862820352776937,161.42496229148412,MFR,42.37361111,-122.87222222,US,OR,west,no
351,351,0.15886608686563894,0.9025749283964493,0.4305119848173618,0.5677354772748359,0.42862820352776937,161.42496229148412,MSO,46.91555556,-114.0875,US,MT,west,no
352,352,0.17329776346061232,0.9147852974649991,0.2094852062811822,0.5677354772748359,0.42862820352776937,161.42496229148412,RDM,44.25444444,-121.15138889,US,OR,west,no
353,353,0.3882108398817257,0.6353048227927814,0.08848026283791244,0.5677354772748359,0.42862820352776937,161.42496229148412,RFD,42.19722222,-89.0925,US,IL,east,no
354,354,0.17145653239689979,0.8150840284764235,0.04419003429421354,0.5677354772748359,0.42862820352776937,161.42496229148412,TWF,42.48194444,-114.48666667,US,ID,west,no
355,355,0.18360990122037338,0.4000176281703778,0.12306320913273323,0.5677354772748359,0.42862820352776937,161.42496229148412,VCV,34.5975,-117.38305556,US,CA,west,no
356,356,0.46317645193400964,0.6773675572580967,0.011884688434021674,0.5677354772748359,0.42862820352776937,161.42496229148412,BAD,32.50166667,-93.6625,US,LA,centre,no
357,357,0.31170393604575747,0.3545803020008236,0.0573047545099426,0.5677354772748359,0.42862820352776937,161.42496229148412,LSV,36.23388889,-115.03361111,US,NV,west,no
358,358,0.7705932399359954,0.23032917145767304,0.042458117532774585,0.5677354772748359,0.42862820352776937,161.42496229148412,BAF,42.16,-72.71638889,US,MA,east,no
359,359,0.5599226178182881,0.38068264576423105,0.018459842249478428,0.5677354772748359,0.42862820352776937,161.42496229148412,BBX,40.13666667,-75.2675,US,PA,east,no
360,360,0.5168223195624531,0.4082078438101161,0.012628534639361023,0.5677354772748359,0.42862820352776937,161.42496229148412,UOS,35.20527778,-85.89805556,US,TN,east,no
361,361,0.3833129324964975,0.5280117642898813,0.014399410783446353,0.5677354772748359,0.42862820352776937,161.42496229148412,BCE,37.70638889,-112.14472222,US,UT,west,no
362,362,0.13051401276983074,0.47298366590332924,0.07601263505223538,0.5677354772748359,0.42862820352776937,161.42496229148412,BLD,35.9475,-114.86111111,US,NV,west,no
363,363,0.09220731526746401,0.5693452529461357,0.13520574812014796,0.5677354772748359,0.42862820352776937,161.42496229148412,PGA,36.92638889,-111.44722222,US,AZ,west,no
364,364,0.2350839543184754,0.2994703416365749,0.06203209734900948,0.5677354772748359,0.42862820352776937,161.42496229148412,BCT,26.37083333,-80.10833333,US,FL,east,no
365,365,0.4909589849070009,0.5920068038278503,0.008463976498701323,0.5677354772748359,0.42862820352776937,161.42496229148412,BDY,43.0875,-124.40833333,US,OR,west,no
366,366,0.1914051348387767,0.20214571785473068,0.036828027273825274,0.5677354772748359,0.42862820352776937,161.42496229148412,EEN,42.90083333,-72.27083333,US,NH,east,no
367,367,0.35474909758078754,0.21712309872683938,0.03885045947976499,0.5677354772748359,0.42862820352776937,161.42496229148412,BFD,41.80222222,-78.63944444,US,PA,east,no
368,368,0.3660778577332802,0.24567680091712205,0.02759618503014405,0.5677354772748359,0.42862820352776937,161.42496229148412,DUJ,41.17833333,-78.89888889,US,PA,east,no
369,369,0.4297228357477216,0.30511751846745944,0.025229264041467327,0.5677354772748359,0.42862820352776937,161.42496229148412,FKL,41.37777778,-79.86027778,US,PA,east,no
370,370,0.27148106162247243,0.2862800734946276,0.02751972870046643,0.5677354772748359,0.42862820352776937,161.42496229148412,JHW,42.15055556,-79.25805556,US,NY,east,no
371,371,0.16074566709255236,0.43374958980160944,0.06184509610684268,0.5677354772748359,0.42862820352776937,161.42496229148412,ISN,48.17611111,-103.63611111,US,ND,centre,no
372,372,0.18614667620401973,0.5766148758851841,0.035032488628120334,0.5677354772748359,0.42862820352776937,161.42496229148412,LBF,41.12833333,-100.69666667,US,NE,centre,no
373,373,0.09470975596630214,0.37994735577033983,0.074031896637044,0.5677354772748359,0.42862820352776937,161.42496229148412,SDY,47.70694444,-104.19194444,US,MT,west,no
374,374,0.14727379167600343,0.46572534099973323,0.040560607077531695,0.5677354772748359,0.42862820352776937,161.42496229148412,CLM,48.11888889,-123.49361111,US,WA,west,no
375,375,0.2147017132520633,0.5336929997382311,0.02795828564730968,0.5677354772748359,0.42862820352776937,161.42496229148412,ESD,48.70833333,-122.9125,US,WA,west,no
376,376,0.12128191567652415,0.3870857919594655,0.055249364487153355,0.5677354772748359,0.42862820352776937,161.42496229148412,FRD,48.52638889,-123.02388889,US,WA,west,no
377,377,0.13550536790719653,0.4444385853279995,0.02818621523091176,0.5677354772748359,0.42862820352776937,161.42496229148412,LPS,48.48277778,-122.93555556,US,WA,west,no
378,378,0.22791807066991707,0.598942911678199,0.015150189388477566,0.5677354772748359,0.42862820352776937,161.42496229148412,ONP,44.57944444,-124.05777778,US,OR,west,no
379,379,0.10833437220886284,0.3893224789676254,0.06996044546956051,0.5677354772748359,0.42862820352776937,161.42496229148412,PWT,47.485,-122.76333333,US,WA,west,no
380,380,0.1318221068822552,0.30808955486250966,0.04200551224918126,0.5677354772748359,0.42862820352776937,161.42496229148412,RCE,48.61222222,-123.13861111,US,WA,west,no
381,381,0.2130306774409167,0.450161792869647,0.019795468688954456,0.5677354772748359,0.42862820352776937,161.42496229148412,SQV,48.09777778,-123.18527778,US,WA,west,no
