,index,x0,iata,latitude,longitude,country,state,region,hub
201,201,0.47100280009068807,ROC,43.12138889,-77.67083333,US,NY,east,no
202,202,0.003911025037652122,SAV,32.1275,-81.2025,US,GA,east,no
203,203,0.7895132677478417,SYR,43.11055556,-76.1025,US,NY,east,no
204,204,0.1792404678049544,TOL,41.59083333,-83.80083333,US,OH,east,no
205,205,0.3504108736042538,TRI,36.47611111,-82.40638889,US,TN,east,no
206,206,0.5170786495022173,VNY,34.20972222,-118.49,US,CA,west,no
207,207,0.333552776781754,YIP,42.23777778,-83.53055556,US,MI,east,no
208,208,0.17661057647489228,YNG,41.25611111,-80.66972222,US,OH,east,no
209,209,0.9946718431009052,APC,38.21222222,-122.28,US,CA,west,no
210,210,0.25173463143618807,ADW,38.81083333,-76.86722222,US,MD,east,no
211,211,0.07430193848605882,AVL,35.435,-82.54111111,US,NC,east,no
212,212,0.002670542171246005,BFI,47.52888889,-122.29944444,US,WA,west,no
213,213,0.7809077742885132,MCF,27.84888889,-82.52166667,US,FL,east,no
214,214,0.6268272989693608,MIA,25.7925,-80.28611111,US,FL,east,yes
215,215,0.4927231446090477,NGU,36.93722222,-76.29055556,US,VA,east,no
216,216,0.001746976773473018,NPA,30.35277778,-87.32027778,US,FL,east,no
217,217,0.9975828845245697,POB,35.17083333,-79.01472222,US,NC,east,no
218,218,0.7870305706757339,AEX,31.32416667,-92.54694444,US,LA,centre,no
219,219,0.3063111881768605,AZA,33.30777778,-111.65555556,US,AZ,west,no
220,220,0.8014934783857383,CSG,32.51611111,-84.93888889,US,GA,east,no
221,221,0.8518003256342063,CYS,41.15583333,-104.81222222,US,WY,west,no
222,222,0.8171240678320334,DPG,40.19944444,-112.93666667,US,UT,west,no
223,223,0.0017504973641917188,DQK,44.05,-75.73305556,US,NY,east,no
224,224,0.13787949460356216,GFK,47.95194444,-97.17861111,US,ND,centre,no
225,225,0.4149066835259076,LRD,27.54472222,-99.46111111,US,TX,centre,no
226,226,0.0014726636108699832,MDT,40.19305556,-76.76222222,US,PA,east,no
227,227,0.3931107237367258,RIV,33.88055556,-117.25861111,US,CA,west,no
228,228,0.38403697608647536,SBN,41.70444444,-86.3125,US,IN,east,no
229,229,0.878771998205,SGF,37.24,-93.385,US,MO,centre,no
230,230,0.7964677145904002,AFK,40.60694444,-95.86583333,US,NE,centre,no
231,231,0.002134333364395596,BEH,42.12777778,-86.42833333,US,MI,east,no
232,232,0.4840192555987648,AFW,32.98666667,-97.3175,US,TX,centre,no
233,233,0.5899915087043405,INT,36.13527778,-80.22555556,US,NC,east,no
234,234,0.073705026408948,JQF,35.38527778,-80.70972222,US,NC,east,no
235,235,0.2668843622513536,AGC,40.35472222,-79.93,US,PA,east,no
236,236,0.3725425061968579,BQK,31.25888889,-81.46638889,US,GA,east,no
237,237,0.7039051305786238,GNV,29.68972222,-82.27583333,US,FL,east,no
238,238,0.9982501145439089,MGM,32.3,-86.39111111,US,AL,centre,no
239,239,0.19033962699738452,SHV,32.44694444,-93.82555556,US,LA,centre,no
240,240,0.29494510056457407,XNA,36.28194444,-94.30694444,US,AR,centre,no
241,241,0.5316530911128019,AHN,33.94833333,-83.32694444,US,GA,east,no
242,242,0.7736644658988931,BTR,30.53166667,-91.15055556,US,LA,centre,no
243,243,0.293312351531062,FYV,36.00361111,-94.17,US,AR,centre,no
244,244,0.4238770325661838,GTR,33.45027778,-88.59138889,US,MS,centre,no
245,245,0.13368711168149022,MCN,32.69583333,-83.64916667,US,GA,east,no
246,246,0.9987406181620055,MKL,35.60138889,-88.91527778,US,TN,east,no
247,247,0.9915687426445009,TCL,33.22111111,-87.61083333,US,AL,centre,no
248,248,0.0020533772540023802,AIA,42.05166667,-102.80666667,US,NE,centre,no
249,249,0.0009968298196360542,BFF,41.87527778,-103.60111111,US,NE,centre,no
